African Studies,Anthropology
Agricultural Economics,Environmental Economics
Agriculture Extension,Agricultural Sciences
Agro Forestry,Agricultural Sciences
Agrometeorology,Meteorological Sciences
Agronomy,Agricultural Sciences
Animal Science,Animal Sciences
Anthropology and Sociology,Anthropology
Atmospheric Sciences,Meteorological Sciences
Biodiversity,Biodiversity and Ecosystem Sciences
Botany,Biology
Carbone Cycle,Biodiversity and Ecosystem Sciences
Climate Change and Adaptation,Environmental Sciences/Ecology
Climatology,Meteorological Sciences
Desertification Research,Desertification
Ecology,Environmental Sciences/Ecology
Ecology/Ecosystems,Biodiversity and Ecosystem Sciences
Economics,Environmental Economics
Education,Social Sciences
Environmental Management,Environmental Sciences/Ecology
Environmental Planning,Environmental Sciences/Ecology
Environmental Policy and MEA,Political Sciences
Environmental Remote Sensing,Information Technologies (Including Remote Sensing and GIS)
Environmental Sciences,Environmental Sciences/Ecology
Forest and Rangeland Dynamics,Forestry
GIS,Information Technologies (Including Remote Sensing and GIS)
Global Change,Environmental Sciences/Ecology
History,Social Sciences
Information Systems,Information Technologies (Including Remote Sensing and GIS)
International Relations,Political Sciences
Irrigation,Agricultural Sciences
Land Use Planning,Environmental Sciences/Ecology
Medical Science,Medicine
Morphology,Geology
Natural Resource Management,Environmental Sciences/Ecology
Physical Science,Physics and Mathematics
Plant Science,Biology
Political Science,Political Sciences
Remote Sensing,Information Technologies (Including Remote Sensing and GIS)
Restoration Ecology,Environmental Sciences/Ecology
Rural Development,Agricultural Sciences
Soil and Water Conservation,Soil Science
Soil Degradation,Soil Science
Sustainable Development,Social Sciences
Vegetation Dynamics,Environmental Sciences/Ecology
Waste Management,Environmental Sciences/Ecology
Water Resources,Hydrology
Watershed Managment,Hydrology
