abk|ab;Abkhazian
aar|aa;Afar
afr|af;Afrikaans
alb|sq;Albanian
sqi|sq;Albanian
amh|am;Amharic
ara|ar;Arabic
arg|an;Aragonese
arm|hy;Armenian
hye|hy;Armenian
asm|as;Assamese
ave|ae;Avestan
aym|ay;Aymara
aze|az;Azerbaijani
bak|ba;Bashkir
baq|eu;Basque
eus|eu;Basque
bel|be;Belarusian
ben|bn;Bengali
bih|bh;Bihari
bis|bi;Bislama
bos|bs;Bosnian
bre|br;Breton
bul|bg;Bulgarian
bur|my;Burmese
mya|my;Burmese
cat|ca;Catalan
cha|ch;Chamorro
che|ce;Chechen
chi|zh;Chinese
zho|zh;Chinese
chu|cu;Church Slavic
chv|cv;Chuvash
cor|kw;Cornish
cos|co;Corsican
scr|hr;Croatian
hrv|hr;Croatian
cze|cs;Czech
ces|cs;Czech
dan|da;Danish
div|dv;Divehi
dut|nl;Dutch
nld|nl;Dutch
dzo|dz;Dzongkha
eng|en;English
esp|es;Spanish
epo|eo;Esperanto
est|et;Estonian
fao|fo;Faroese
fij|fj;Fijian
fin|fi;Finnish
fre|fr;French
fra|fr;French
gla|gd;Gaelic
glg|gl;Galician
geo|ka;Georgian
kat|ka;Georgian
ger|de;German
deu|de;German
gre|el;Greek
ell|el;Greek
grn|gn;Guarani
guj|gu;Gujarati
hat|ht;Haitian
hau|ha;Hausa
heb|he;Hebrew
her|hz;Herero
hin|hi;Hindi
hmo|ho;Hiri Motu
hun|hu;Hungarian
ice|is;Icelandic
isl|is;Icelandic
ido|io;Ido
ind|id;Indonesian
ina|ia;Interlingua
ile|ie;Interlingue
iku|iu;Inuktitut
ipk|ik;Inupiaq
gle|ga;Irish
ita|it;Italian
jpn|ja;Japanese
jav|jv;Javanese
kal|kl;Kalaallisut
kan|kn;Kannada
kas|ks;Kashmiri
kaz|kk;Kazakh
khm|km;Khmer
kik|ki;Kikuyu
kin|rw;Kinyarwanda
kir|ky;Kirghiz
kom|kv;Komi
kor|ko;Korean
kua|kj;Kuanyama
kur|ku;Kurdish
lao|lo;Lao
lat|la;Latin
lav|lv;Latvian
lim|li;Limburgan
lin|ln;Lingala
lit|lt;Lithuanian
ltz|lb;Luxembourgish
mac|mk;Macedonian
mkd|mk;Macedonian
mlg|mg;Malagasy
may|ms;Malay
msa|ms;Malay
mal|ml;Malayalam
mlt|mt;Maltese
glv|gv;Manx
mao|mi;Maori
mri|mi;Maori
mar|mr;Marathi
mah|mh;Marshallese
mol|mo;Moldavian
mon|mn;Mongolian
nau|na;Nauru
nav|nv;Navaho Navajo
nde|nd;Ndebele North
nbl|nr;Ndebele South
ndo|ng;Ndonga
nep|ne;Nepali
sme|se;Northern Sami
nor|no;Norwegian
nob|no;Norwegian Bokmal
nno|no;Norwegian Nynorsk
nya|ny;Nyanja
oci|oc;Occitan
ori|or;Oriya
orm|om;Oromo
oss|os;Ossetian
pli|pi;Pali
pan|pa;Panjabi
per|fa;Persian
fas|fa;Persian
pol|pl;Polish
por|pt;Portuguese
pus|ps;Pushto
que|qu;Quechua
roh|rm;Raeto-Romance
rum|ro;Romanian
ron|ro;Romanian
run|rn;Rundi
rus|ru;Russian
smo|sm;Samoan
sag|sg;Sango
san|sa;Sanskrit
srd|sc;Sardinian
scc|sr;Serbian
srp|sr;Serbian
sna|sn;Shona
iii|ii;Sichuan Yi
snd|sd;Sindhi
sin|si;Sinhala
slo|sk;Slovak
slk|sk;Slovak
slv|sl;Slovenian
som|so;Somali
sot|st;Sotho
spa|es;Spanish
sun|su;Sundanese
swa|sw;Swahili
ssw|ss;Swati
swe|sv;Swedish
tgl|tl;Tagalog
tah|ty;Tahitian
tgk|tg;Tajik
tam|ta;Tamil
tat|tt;Tatar
tel|te;Telugu
tha|th;Thai
tib|bo;Tibetan
bod|bo;Tibetan
tir|ti;Tigrinya
ton|to;Tonga
tso|ts;Tsonga
tsn|tn;Tswana
tur|tr;Turkish
tuk|tk;Turkmen
twi|tw;Twi
uig|ug;Uighur
ukr|uk;Ukrainian
urd|ur;Urdu
uzb|uz;Uzbek
vie|vi;Vietnamese
vol|vo;Volapuk
wln|wa;Walloon
wel|cy;Welsh
cym|cy;Welsh
fry|fy;Western Frisian
wol|wo;Wolof
xho|xh;Xhosa
yid|yi;Yiddish
yor|yo;Yoruba
zha|za;Zhuang
zul|zu;Zulu
